params,total_trades,win_rate,total_pnl,final_balance,profit_factor,max_drawdown,expectancy,avg_win,avg_loss
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 35}",64,42.1875,722.5491816560018,10722.549181656004,1.1741089721826574,-10.752724239416098,11.289830963375039,180.4641350823508,112.16168825858026
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 40}",62,43.54838709677419,986.8133402144055,10986.813340214403,1.2493012797937963,-9.522075885423172,15.916344197006545,183.15295272705876,113.09475381189088
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",57,42.10526315789473,761.19172954087,10761.19172954087,1.2084588781056087,-9.7899203840053,13.354240869138081,183.8629821269849,110.65211640929596
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",55,41.81818181818181,691.8504606899713,10691.85046068997,1.1948675139947882,-8.612732312680047,12.579099285272207,184.44407446350516,110.94885162408272
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",57,42.10526315789473,766.5750098228532,10766.575009822853,1.2095145456579623,-9.7899203840053,13.448684382857067,184.3912598460439,110.8731886812788
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",55,41.81818181818181,697.1990530401041,10697.199053040104,1.1959665789533205,-8.612732312680047,12.676346418910967,184.99755345760224,111.17952114014837
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",80,35.0,154.33832065796105,10154.338320657957,1.0263475342094839,-13.367285169989863,1.929229008224496,214.71886621057294,112.64980640842465
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",75,37.333333333333336,790.2156342477762,10790.215634247776,1.144679119670128,-12.06566445882867,10.536208456637013,223.28805453423348,116.20957218533535
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",80,33.75,-171.22881849192726,9828.77118150807,0.97059951041792,-16.144892556442084,-2.14036023114906,209.3623581457746,109.88702808354415
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",75,36.0,444.2610753273049,10444.261075327297,1.08169170562334,-14.885004247512251,5.9234810043640636,217.87130522367914,113.29717011900065
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 35}",59,38.983050847457626,1234.8151166983348,11234.815116698339,1.3004261521037832,-10.25899775632456,20.929069774548054,232.39247482615022,114.17255011953112
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 40}",56,39.285714285714285,1235.7969948823352,11235.79699488234,1.3175184877216821,-9.021541310111884,22.06780348004169,233.08383474143696,114.4719814538023
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 35}",60,40.0,1506.2982794516938,11506.298279451696,1.360914126910155,-9.852064763908375,25.104971324194906,236.66093665596728,115.93233889698669
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 40}",57,40.35087719298245,1507.3038841850012,11507.303884184996,1.3813097883711023,-8.608997038101645,26.44392779271932,237.40295352805583,116.2636484400083
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",51,33.33333333333333,121.7497045738825,10121.749704573878,1.0330017290849676,-10.475767458614076,2.3872491092917727,224.17302299275048,108.50563783243754
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",50,34.0,254.11176916006775,10254.111769160068,1.0705084976114259,-9.307529285109776,5.082235383201379,226.94703679388135,109.21175322230044
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",51,33.33333333333333,126.82916072541306,10126.829160725425,1.0342761455230325,-9.346916172547608,2.486846288733574,225.12033556613952,108.82989834996937
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 2.5, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",50,34.0,259.25764933143716,10259.257649331434,1.0717141141990918,-8.163947158832176,5.185152986628765,227.90663530146443,109.55015608465025
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",78,34.61538461538461,1461.4228375995037,11461.42283759951,1.2397829896481907,-10.281700648160747,18.736190225634658,279.8590968221963,119.50534856078033
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",73,36.986301369863014,2179.13683406221,12179.136834062216,1.383802902484988,-8.93372030568092,29.851189507701505,290.99579945109025,123.42934241559188
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",78,33.33333333333333,1039.9152197325784,11039.91521973258,1.1724149632349419,-13.117926206907782,13.33224640682792,271.97625230939184,115.98975654445402
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",73,35.61643835616438,1731.2344202571812,11731.234420257178,1.3076835574963979,-11.812558980455016,23.71554000352303,282.99639608296496,119.71642293404058
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 35}",55,30.909090909090907,349.6207308661206,10349.620730866123,1.0822586098523097,-12.016691361234203,6.356740561202216,270.5813994941045,111.8490279087804
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 60, 'rsi_short_min': 40}",53,32.075471698113205,604.7241993778886,10604.724199377886,1.1488822860236898,-10.80347210011511,11.40989055429975,274.49910425308,112.82668258123536
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 35}",56,32.142857142857146,651.5151511341979,10651.5151511342,1.1504722753859542,-9.648399800324285,11.634199127396386,276.7398388585478,113.94215653472797
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.0, 'rsi_long_max': 65, 'rsi_short_min': 40}",54,33.33333333333333,914.0598888226287,10914.059888822634,1.2208295311971697,-8.40252369801457,16.927034978196815,280.7372374287091,114.9780662470593
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",49,32.6530612244898,783.6370187855568,10783.63701878555,1.2103724652650552,-9.266589343910173,15.992592220113394,281.7896905808811,112.8787281972285
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",49,32.6530612244898,819.8383493328064,10819.838349332811,1.22044275932555,-8.082572112690862,16.731394884342976,283.68072178972045,112.69858179705214
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",49,32.6530612244898,789.0655737632757,10789.065573763273,1.2109841161614796,-9.266589343910173,16.103379056393393,283.06214877149574,113.33117595698955
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 70, 'risk_reward_ratio': 3.0, 'sl_atr_multiplier': 2.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",49,32.6530612244898,825.2851283023747,10825.285128302372,1.2210062026461475,-8.082572112690862,16.842553638823958,284.968885642039,113.15809218091665
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 35}",89,39.325842696629216,-1715.1219569091213,8284.878043090877,0.6945296712612719,-19.938501323606978,-19.271033223697984,111.41630059208326,103.97578662281548
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 60, 'rsi_short_min': 40}",82,39.02439024390244,-1642.7871312875088,8357.21286871249,0.6895609293075916,-16.80137596536936,-20.033989405945235,114.03222160255021,105.83636445138231
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 35}",91,39.56043956043956,-1707.2325685209346,8292.767431479071,0.7018167604494199,-19.86226166688383,-18.760797456274027,111.61708935706888,104.09905064318937
"{'adx_threshold': 15, 'stoch_oversold': 15, 'stoch_overbought': 75, 'risk_reward_ratio': 1.5, 'sl_atr_multiplier': 1.5, 'rsi_long_max': 65, 'rsi_short_min': 40}",84,39.285714285714285,-1634.8288610726547,8365.171138927339,0.6974776054892536,-16.722148938132744,-19.462248346103046,114.2170909914265,105.96064438803391
